crID	cat	trf	maxnet	new_purity	new_recovered	new_n_big	new_assigned	new_n_alleles	cur_purity	cur_recovered	cur_n_big	cur_assigned	cur_n_alleles
1092	het	True	54	0.9333333333333333	True	2	1.0	2	0.9333333333333333	True	2	1.0	2
1093	het	True	73	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1094	het	True	63	1.0	True	2	1.0	2	0.8823529411764706	True	2	1.0	2
1096	cpx_het	True	184	1.0	True	2	1.0	2	0.5	False	1	1.0	2
1098	hom	True	132	1.0	True	1	1.0	1	1.0	True	1	1.0	1
1099	cpx_het	True	135	1.0	True	2	1.0	2	0.6470588235294118	False	1	1.0	2
1102	cpx_het	True	132	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1103	cpx_het	True	61	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1105	het	True	28	1.0	True	2	1.0	2	0.5714285714285714	False	1	1.0	2
1109	het	False	98	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1110	het	False	2509	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1111	het	True	32	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1112	het	False	3404	1.0	True	2	1.0	2	0.8695652173913043	True	2	1.0	2
1113	cpx_het	True	138	1.0	True	2	0.96	2	0.96	True	2	1.0	2
1115	hom	True	175	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1117	het	True	50	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1118	het	True	70	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1119	hom	True	155	1.0	True	2	0.875	1	1.0	True	1	1.0	1
1120	hom	True	124	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1121	het	True	33	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1122	cpx_het	True	1067	1.0	True	2	1.0	2	0.9666666666666667	True	2	1.0	2
1123	het	False	329	1.0	True	2	1.0	2	0.9473684210526315	True	2	1.0	2
1124	het	True	766	1.0	True	2	1.0	2	0.9583333333333334	True	2	1.0	2
1125	cpx_het	True	1342	1.0	True	2	1.0	2	0.9230769230769231	True	2	1.0	2
1126	hom	False	29	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1127	het	True	53	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1129	cpx_het	True	674	1.0	True	2	0.7272727272727273	2	0.8181818181818182	False	1	1.0	2
1130	hom	True	172	1.0	True	1	0.9473684210526315	1	1.0	True	1	1.0	1
